"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"08_4_41",0.81,0.89,0.99,"0.84138421941656","0.946869488536155","1.08231835363293","A41","0.98","0.84","1.03","1.19","N00_99","0.62","0.85","1.03","1.18","G00_99_SY","0.15","0.85","1.03","1.18"
"08_4_42",0.97,1.07,1.19,"1.00558035714286","1.15846994535519","1.35285285285285","A41","0.86","0.92","1.09","1.28","pandemic","0.19","0.89","1.09","1.27","N39","0.19","0.89","1.08","1.28"
"08_4_43",0.68,0.79,0.91,"0.854358984529511","0.985550541676186","1.15962626979573","A41","1","0.85","1.09","1.41","N39","0.8","0.84","1.07","1.36","E10_14","0.26","0.77","0.98","1.35"
"08_5_50",0.99,1.18,1.4,"1.27127221666204","1.55965181771633","1.75663206459054","N39","0.24","1.29","1.58","1.77","E00_99","0.23","1.32","1.6","1.78","N00_99","0.08","1.3","1.6","1.77"
"08_5_51",0.85,1.04,1.27,"1.2122641509434","1.39579090291921","1.56112376613516","S00_T99","0.07","1.2","1.4","1.59","E00_99","0.06","1.21","1.4","1.6","C00_D48","0.03","1.21","1.4","1.61"
"08_5_52",0.88,1.07,1.29,"1.08736337692518","1.34526967285588","1.70096213964349","C00_D48","0.57","1.08","1.41","1.76","G00_99_SY","0.55","1.07","1.43","1.74","Z00_99","0.21","1.08","1.38","1.7"
"08_5_53",0.89,1.11,1.36,"1.09188361408882","1.34274952919021","1.67567567567568","G00_99_SY","0.51","1.06","1.24","1.48","I00_99","0.08","1.06","1.24","1.49","C00_D48","0.07","1.06","1.23","1.44"
"08_1_AA",0.9,1.04,1.19,"0.991591928251121","1.14328185057124","1.319361575179","a10_b99_nopneumo","0.69","1","1.21","1.36","N00_99","0.35","0.95","1.21","1.38","N39","0.14","0.96","1.19","1.39"
"08_2_AA",0.87,0.99,1.15,"0.847227231492964","0.979724206498564","1.15034334151552","I00_99","0.86","0.78","0.93","1.1","a10_b99_nopneumo","0.65","0.77","0.94","1.16","cj20_J22","0.23","0.75","0.92","1.12"
"08_3_AA",0.88,0.96,1.05,"0.907022123186599","1.01996147228835","1.12735815357954","A41","1","0.81","0.9","1.14","H00_99_SY","0.24","0.85","1.03","1.2","N39","0.08","0.83","0.97","1.13"
"08_4_AA",0.81,0.88,0.96,"0.808846884677192","0.938130070488097","1.1502914542934","A41","0.99","0.77","0.91","1.19","S00_T99","0.53","0.86","1.05","1.25","E10_14","0.26","0.85","0.99","1.19"
"08_5_AA",0.95,1.1,1.26,"1.11568338452049","1.30377260981912","1.47343460910116","N39","0.85","1.07","1.29","1.62","N00_99","0.16","1.04","1.38","1.67","E00_99","0.05","0.95","1.41","1.68"
"08_A_AA",0.9,0.99,1.07,"0.838778351309591","0.936751775706791","1.0442871276723","A41","1","0.83","0.99","1.15","I00_99","0.63","0.84","0.97","1.13","L00_99","0.35","0.85","0.98","1.17"
