"","ITS Estimate (95% CI)","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"9_25","1.92 (1, 3.89)","0.87 (0.63, 1.23)","cJ20_J22","1","1.05 (0.76, 1.48)","ach_noj","0.43","1.05 (0.77, 1.44)","P00_99","0.37","1.04 (0.79, 1.39)"
"9_26","1.26 (0.67, 2.23)","0.77 (0.51, 1.02)","cJ20_J22","1","0.78 (0.47, 1.22)","K00_99","0.29","0.78 (0.46, 1.33)","P05_07","0.28","0.83 (0.57, 1.88)"
"9_27","0.67 (0.38, 1.15)","1.3 (1.09, 1.53)","cJ20_J22","1","1.06 (0.77, 1.35)","P05_07","0.31","1.07 (0.79, 1.37)","P00_99","0.14","1.12 (0.9, 1.43)"
"9_28","1.37 (0.82, 2.27)","1.13 (0.78, 1.51)","cJ20_J22","1","0.79 (0.59, 1.29)","P00_99","0.96","0.71 (0.57, 0.93)","P05_07","0.23","0.69 (0.56, 0.89)"
"9_29","0.66 (0.3, 1.44)","0.82 (0.53, 1.32)","cJ20_J22","1","0.87 (0.51, 1.76)","P00_99","0.92","0.69 (0.44, 1.29)","ach_noj","0.39","0.65 (0.43, 0.93)"
"9_30","0.63 (0.33, 1.09)","0.83 (0.7, 1)","cJ20_J22","1","0.9 (0.6, 1.17)","K00_99","0.2","0.88 (0.53, 1.18)","P05_07","0.11","0.85 (0.49, 1.13)"
"9_31","1.3 (0.67, 2.63)","1.02 (0.52, 1.72)","Q00_99","0.56","1.03 (0.42, 1.52)","ach_noj","0.4","1.12 (0.71, 1.57)","P00_99","0.35","1.13 (0.76, 1.53)"
"9_32","1.07 (0.53, 2.02)","1.07 (0.82, 1.35)","cJ20_J22","0.31","1.09 (0.84, 1.37)","P00_99","0.17","1.09 (0.86, 1.35)","ach_noj","0.15","1.12 (0.88, 1.39)"
"9_4","1.09 (0.6, 2.05)","0.86 (0.72, 1.03)","cJ20_J22","1","0.92 (0.71, 1.15)","ach_noj","0.47","0.93 (0.73, 1.16)","P00_99","0.31","0.94 (0.74, 1.18)"
"9_5","0.74 (0.4, 1.32)","0.79 (0.44, 1.51)","ach_noj","0.86","1.08 (0.44, 1.68)","cJ20_J22","0.75","1.18 (0.51, 1.78)","P00_99","0.3","1.36 (0.96, 1.78)"
"9_7","0.99 (0.62, 1.62)","0.94 (0.76, 1.15)","cJ20_J22","1","1.02 (0.79, 1.33)","P00_99","0.41","1.03 (0.79, 1.39)","Q00_99","0.36","1.02 (0.79, 1.32)"
"9_8","0.93 (0.59, 1.52)","0.98 (0.76, 1.25)","cJ20_J22","1","0.89 (0.64, 1.23)","P00_99","0.5","0.98 (0.75, 1.31)","ach_noj","0.48","1.1 (0.81, 1.45)"
"9_9","0.92 (0.54, 1.56)","1.04 (0.91, 1.18)","cJ20_J22","1","1.14 (0.94, 1.37)","A10_B99_nopneumo","0.93","1.16 (0.96, 1.37)","Z00_99","0.73","1.12 (0.89, 1.38)"
