"","Time_trend Lower CI","Time_trend Point Estimate","Time_trend Upper CI","Lower CI","Point Estimate","Upper CI","Top Control 1","Inclusion Probability of Control 1","Lower CI 1","Point Estimate 1","Upper CI 1","Top Control 2","Inclusion Probability of Control 2","Lower CI 2","Point Estimate 2","Upper CI 2","Top Control 3","Inclusion Probability of Control 3","Lower CI 3","Point Estimate 3","Upper CI 3"
"09_2_26",0.35,0.48,0.66,"0.537946900767826","0.65804585231426","0.810150082680143","cj20_J22","1","0.67","0.94","1.23","P00_99","0.41","0.52","0.94","1.23","P05_07","0.22","0.67","0.98","1.22"
"09_2_27",0.37,0.49,0.67,"0.582506178209434","0.722298563397876","0.842980026242893","P00_99","0.06","0.59","0.73","0.85","P05_07","0.05","0.58","0.73","0.87","E40_46","0.05","0.6","0.73","0.86"
"09_2_28",0.28,0.39,0.52,"0.458964342475417","0.636","0.916803953871499","cj20_J22","0.67","0.47","0.61","0.88","P00_99","0.57","0.46","0.6","0.78","ach_noj","0.53","0.5","0.61","0.78"
"09_2_29",0.58,0.65,0.74,"0.505755546982021","0.559243940852169","0.629278727680134","P00_99","1","0.57","0.68","0.76","E00_99","0.26","0.56","0.65","0.75","E40_46","0.17","0.56","0.66","0.76"
"09_3_31",0.53,0.65,0.79,"0.461297755197177","0.534167269719839","0.6506218288703","cj20_J22","1","0.53","0.65","0.77","E00_99","0.73","0.51","0.6","0.79","P00_99","0.51","0.49","0.57","0.66"
"09_3_32",0.36,0.48,0.62,"0.391027438309197","0.460205305959205","0.525019011406844","cj20_J22","1","0.45","0.66","0.87","N00_99","0.17","0.46","0.64","0.85","P00_99","0.07","0.63","0.77","0.89"
"09_3_33",0.41,0.52,0.65,"0.638653539653503","0.742602609593592","0.836833176151187","cj20_J22","1","0.58","0.68","0.8","E00_99","0.98","0.57","0.69","0.82","Z00_99","0.11","0.58","0.69","0.78"
"09_3_35",0.78,0.95,1.15,"0.83471595047632","0.932818177838098","1.02773743061875","cj20_J22","1","0.78","0.96","1.16","E00_99","1","0.81","0.97","1.13","D50_89","0.9","0.66","0.9","1.13"
"09_4_41",0.75,0.91,1.1,"0.646738134698006","0.848486681754149","1.02014145014863","cj20_J22","1","0.72","0.8","0.89","P00_99","0.8","0.72","0.8","0.92","a10_b99_nopneumo","0.72","0.67","0.8","0.94"
"09_4_42",0.76,0.92,1.12,"0.593125328841453","0.701496976306137","0.841181767948399","cj20_J22","1","0.66","0.76","0.97","ach_noj","0.76","0.68","0.81","0.93","E00_99","0.35","0.68","0.78","0.89"
"09_4_43",0.86,1.01,1.19,"0.753182595477864","0.83464345873105","0.927832035387808","cj20_J22","1","0.74","0.83","0.97","E00_99","0.96","0.78","0.9","1.01","a10_b99_nopneumo","0.17","0.82","0.92","1.02"
"09_5_50",0.52,0.69,0.91,"0.681132383048697","0.772580950577542","0.892583679719974","cj20_J22","1","0.66","0.78","0.93","P00_99","0.86","0.76","0.9","1.04","P05_07","0.24","0.75","0.9","1.04"
"09_5_51",0.6,0.77,0.98,"0.605115486021838","0.718129066291542","0.799694536910123","cj20_J22","1","0.57","0.67","0.76","K00_99","0.73","0.55","0.65","0.77","a10_b99_nopneumo","0.28","0.56","0.65","0.78"
"09_5_52",0.56,0.8,1.08,"0.502560884895481","0.58179317458953","0.675853804673457","cj20_J22","1","0.57","0.78","0.95","ach_noj","0.9","0.56","0.79","1.01","K00_99","0.12","0.59","0.78","0.95"
"09_5_53",0.51,0.74,1.04,"0.365439093484419","0.439919759277833","0.582791321645247","cj20_J22","1","0.44","0.59","0.86","a10_b99_nopneumo","0.65","0.48","0.62","0.9","A41","0.19","0.48","0.61","1"
"09_1_AA",0.73,0.86,1.03,"0.780592528982396","0.89799950629432","1.00906941430178","cj20_J22","1","0.77","0.86","0.96","P00_99","0.81","0.78","0.85","0.92","N39","0.31","0.77","0.85","0.94"
"09_2_AA",0.48,0.58,0.7,"0.53304051554493","0.579241891291122","0.630231214747093","A41","1","0.57","0.65","0.73","cj20_J22","1","0.65","0.71","0.79","K00_99","0.1","0.65","0.72","0.78"
"09_3_AA",0.68,0.8,0.94,"0.711845166793014","0.777314612011153","0.907266527839454","cj20_J22","1","0.62","0.8","0.96","E00_99","0.93","0.76","0.86","1.03","E40_46","0.64","0.58","0.8","0.99"
"09_4_AA",0.83,0.96,1.11,"0.684523949014497","0.756458748825161","0.847761232714902","cj20_J22","1","0.73","0.82","0.92","E00_99","1","0.73","0.82","0.97","I00_99","0.05","0.74","0.81","0.88"
"09_5_AA",0.58,0.77,1,"0.552846919526796","0.666523955941307","0.770012455699229","cj20_J22","1","0.58","0.79","0.95","K00_99","0.74","0.45","0.76","0.94","ach_noj","0.27","0.57","0.77","0.96"
"09_A_AA",0.65,0.74,0.84,"0.714215861396038","0.748611015099132","0.804214686924984","E40_46","1","0.72","0.78","0.91","cj20_J22","1","0.69","0.79","0.93","I00_99","0.06","0.69","0.77","0.87"
