"","Estimate (95% CI)","Top Control 1","Inclusion Probability of Control 1","Control 1 Estimate (95% CI)","Top Control 2","Inclusion Probability of Control 2","Control 2 Estimate (95% CI)","Top Control 3","Inclusion Probability of Control 3","Control 3 Estimate (95% CI)"
"08_2_27","1.29 (1.06, 1.55)","I60_64","0.32","1.31 (1.05, 1.59)","E10_14","0.19","1.33 (1.08, 1.6)","a10_b99_nopneumo","0.11","1.32 (1.06, 1.59)"
"08_2_28","1.45 (1.21, 1.9)","K00_99","0.24","1.44 (1.19, 2.07)","C00_D48","0.1","1.43 (1.19, 1.94)","E00_99","0.09","1.41 (1.18, 1.76)"
"08_2_29","0.93 (0.78, 1.07)","I00_99","0.57","0.89 (0.66, 1.05)","I60_64","0.08","0.89 (0.7, 1.05)","K00_99","0.06","0.89 (0.66, 1.05)"
"08_3_31","0.86 (0.69, 1.1)","M00_99","0.19","0.87 (0.73, 1.09)","N39","0.12","0.87 (0.74, 1.08)","S00_T99","0.11","0.86 (0.74, 1.04)"
"08_3_32","1.36 (1.04, 1.52)","H00_99_SY","0.88","1.14 (0.93, 1.51)","A41","0.82","1.12 (0.91, 1.52)","a10_b99_nopneumo","0.05","1.1 (0.9, 1.39)"
"08_3_33","1.12 (0.96, 1.27)","D50_89","0.25","1.12 (0.95, 1.31)","N00_99","0.21","1.14 (0.96, 1.3)","H00_99_SY","0.13","1.14 (0.9, 1.29)"
"08_3_35","1.02 (0.93, 1.11)","A41","0.97","1.08 (0.94, 1.26)","E00_99","0.09","1.03 (0.91, 1.15)","E10_14","0.06","1.03 (0.9, 1.16)"
"08_4_41","0.92 (0.81, 1.07)","A41","1","0.98 (0.81, 1.14)","N00_99","0.49","1.01 (0.81, 1.15)","C00_D48","0.28","1.02 (0.83, 1.15)"
"08_4_42","1.11 (0.95, 1.28)","A41","0.35","1.09 (0.87, 1.28)","pandemic","0.28","1.07 (0.82, 1.26)","a10_b99_nopneumo","0.25","1.09 (0.78, 1.28)"
"08_4_43","1.1 (0.9, 1.25)","A41","1","0.97 (0.72, 1.26)","E10_14","0.79","0.87 (0.67, 1.27)","M00_99","0.14","0.84 (0.67, 1.27)"
"08_5_50","1.49 (1.25, 1.74)","E00_99","0.44","1.57 (1.31, 1.79)","N39","0.11","1.58 (1.28, 1.77)","N00_99","0.05","1.59 (1.24, 1.78)"
"08_5_51","1.39 (1.15, 1.55)","E00_99","0.05","1.39 (1.04, 1.55)","I00_99","0.04","1.38 (1.03, 1.56)","I60_64","0.03","1.39 (1.02, 1.56)"
"08_5_52","1.5 (1.19, 1.73)","E00_99","0.7","1.42 (1.06, 1.78)","G00_99_SY","0.27","1.4 (1.04, 1.75)","C00_D48","0.21","1.39 (1.03, 1.73)"
"08_5_53","1.23 (1.05, 1.45)","a10_b99_nopneumo","0.19","1.24 (1.06, 1.48)","I00_99","0.09","1.24 (1.06, 1.47)","K00_99","0.06","1.24 (1.06, 1.47)"
"08_1_AA","1.14 (0.98, 1.3)","a10_b99_nopneumo","0.43","1.16 (0.97, 1.32)","N00_99","0.21","1.15 (0.93, 1.32)","L00_99","0.17","1.16 (0.96, 1.32)"
"08_2_AA","1.04 (0.86, 1.18)","I00_99","0.81","0.96 (0.79, 1.13)","L00_99","0.26","0.97 (0.78, 1.13)","a10_b99_nopneumo","0.13","0.99 (0.83, 1.15)"
"08_3_AA","1 (0.92, 1.09)","A41","1","1.08 (0.96, 1.19)","N00_99","0.08","1.07 (0.94, 1.19)","N39","0.03","1.07 (0.92, 1.18)"
"08_4_AA","0.89 (0.79, 1.07)","A41","1","0.8 (0.7, 1.06)","S00_T99","0.7","0.88 (0.77, 1.1)","N39","0.16","0.97 (0.78, 1.14)"
"08_5_AA","1.3 (1.03, 1.49)","E00_99","0.69","1.2 (0.9, 1.43)","I60_64","0.2","1.21 (0.9, 1.43)","N39","0.15","1.19 (0.91, 1.41)"
"08_A_AA","0.99 (0.9, 1.11)","A41","0.7","1.06 (0.92, 1.19)","I00_99","0.56","1.04 (0.92, 1.15)","H00_99_SY","0.26","1 (0.88, 1.1)"
